,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
23805,2019,02,005258,090,11,04,020101,5.0,3.0,20150052580901105,3.0,0.0,1.0,1.0,2.0,,1.0,39.0,,5.0
23810,2019,02,006322,159,11,06,081212,6.0,7.0,20180063221591103,0.0,,,,,,,,,
23813,2019,12,009111,063,11,05,210406,6.0,7.0,20190091110631105,3.0,1.0,3.0,1.0,2.0,,2.0,7.0,,
23815,2019,01,005170,022,11,01,021803,2.0,2.0,20150051700221101,1.0,1.0,1.0,1.0,2.0,,1.0,47.0,,1.0
23816,2019,10,006511,104,11,03,100101,5.0,2.0,20190065111041103,3.0,1.0,3.0,1.0,2.0,,1.0,24.0,,6.0
23819,2019,02,010616,009,11,01,130614,4.0,5.0,20190106160091101,1.0,1.0,1.0,1.0,2.0,,1.0,70.0,,1.0
23821,2019,02,008746,023,12,03,200101,1.0,2.0,20190087460231203,3.0,2.0,1.0,1.0,2.0,,1.0,36.0,,5.0
23822,2019,02,009626,085,11,05,250101,7.0,2.0,20190096260851105,3.0,2.0,1.0,1.0,2.0,,1.0,23.0,,1.0
23825,2019,05,007244,070,11,04,131104,4.0,7.0,20190072440701104,3.0,1.0,3.0,1.0,2.0,,2.0,11.0,,
23828,2019,11,008601,098,11,02,180101,3.0,8.0,20190086010981102,2.0,1.0,2.0,1.0,2.0,,2.0,51.0,,1.0
23833,2019,09,009986,083,11,08,101005,5.0,8.0,20190099860831108,5.0,2.0,3.0,1.0,2.0,,2.0,0.0,2.0,
23834,2019,12,008132,089,11,01,150601,2.0,7.0,20190081320891101,1.0,0.0,1.0,1.0,2.0,,1.0,59.0,,5.0
23835,2019,12,006609,051,11,03,100322,5.0,6.0,20190066090511103,4.0,1.0,2.0,1.0,2.0,,2.0,33.0,,1.0
23837,2019,06,007963,013,12,03,150114,8.0,1.0,20190079630131203,7.0,0.0,1.0,1.0,2.0,,1.0,57.0,,6.0
23838,2019,04,010089,065,11,02,080601,6.0,4.0,20180100890651102,3.0,1.0,3.0,1.0,2.0,,1.0,22.0,,6.0
23839,2019,10,007707,022,11,02,150101,8.0,1.0,20150077070221102,3.0,1.0,2.0,1.0,2.0,,2.0,25.0,,1.0
23840,2019,11,010426,010,11,03,021809,2.0,2.0,20180104260101103,3.0,1.0,3.0,1.0,2.0,,1.0,18.0,,6.0
23842,2019,02,005061,010,11,03,010502,4.0,5.0,20190050610101103,3.0,1.0,3.0,1.0,2.0,,2.0,12.0,,6.0
23844,2019,12,009660,015,11,02,250101,7.0,2.0,20190096600151102,2.0,1.0,2.0,1.0,2.0,,2.0,68.0,,2.0
23846,2019,03,009059,107,11,01,210203,6.0,7.0,20190090591071101,1.0,1.0,1.0,1.0,2.0,,1.0,50.0,,2.0
23850,2019,06,006323,084,11,03,081206,6.0,6.0,20190063230841103,3.0,1.0,3.0,1.0,2.0,,1.0,38.0,,6.0
23851,2019,06,006103,059,11,04,070101,8.0,1.0,20190061030591104,5.0,2.0,3.0,1.0,2.0,,2.0,14.0,,6.0
23852,2019,07,006504,017,11,03,100101,5.0,2.0,20190065040171103,3.0,1.0,3.0,1.0,2.0,,2.0,2.0,,
23853,2019,04,009234,082,11,01,220901,7.0,2.0,20160092340821101,1.0,1.0,1.0,1.0,2.0,,2.0,80.0,,3.0
23854,2019,10,007352,138,11,02,140106,1.0,2.0,20190073521381102,3.0,1.0,2.0,1.0,2.0,,2.0,35.0,,1.0
23855,2019,02,009061,052,11,02,210210,6.0,7.0,20190090610521102,2.0,1.0,2.0,1.0,2.0,,2.0,67.0,,2.0
23858,2019,06,006015,196,11,01,061001,4.0,7.0,20190060151961101,1.0,1.0,1.0,1.0,2.0,,2.0,65.0,,2.0
23859,2019,03,009972,045,11,02,200703,1.0,8.0,20190099720451102,3.0,1.0,3.0,1.0,2.0,,1.0,18.0,,6.0
23860,2019,04,006102,007,11,03,070102,8.0,1.0,20190061020071103,3.0,1.0,3.0,1.0,2.0,,2.0,20.0,,6.0
23862,2019,08,008592,019,11,02,180202,6.0,6.0,20190085920191102,3.0,1.0,3.0,1.0,2.0,,1.0,26.0,,6.0
23863,2019,12,007082,159,11,01,130105,1.0,1.0,20190070821591101,1.0,1.0,1.0,1.0,2.0,,1.0,52.0,,1.0
23866,2019,06,006035,040,11,03,070106,8.0,1.0,20190060350401103,3.0,1.0,3.0,1.0,2.0,,2.0,22.0,,6.0
23871,2019,03,009945,055,11,01,180208,6.0,8.0,20190099450551101,1.0,1.0,1.0,1.0,2.0,,1.0,48.0,,1.0
